OrderID,Date,CustomerID,Quantity,UnitPrice,ShippingAddress,TrackingNumber,ItemsInCart,CouponCode,TotalPrice,price_to_cart_ratio,order_month,has_coupon,discount_tier,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,OrderStatus_Delivered,OrderStatus_Pending,OrderStatus_Returned,OrderStatus_Shipped,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral
ORD200012,2024-10-15,C38785,2,180.5,179 Main St,TRK20419991,6,FREESHIP,361.0,30.083333333333332,10,1,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
ORD200013,2023-08-30,C88348,3,201.49,903 Main St,TRK81913874,4,FREESHIP,604.47,50.3725,8,1,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
ORD200014,2023-03-27,C98474,2,393.33,980 Main St,TRK79186539,3,SAVE10,786.66,131.10999999999999,3,1,10.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
ORD200015,2023-07-17,C39416,1,473.96,942 Main St,TRK54930938,3,MISSING,473.96,157.98666666666665,7,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
ORD200016,2023-01-24,C28976,2,533.81,914 Main St,TRK13194259,3,FREESHIP,1067.62,177.93666666666664,1,1,0.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
ORD200017,2024-03-02,C60672,1,423.4,382 Main St,TRK11972116,3,MISSING,423.4,141.13333333333333,3,0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
ORD200018,2025-03-26,C84329,1,431.44,891 Main St,TRK65191045,3,SAVE10,431.44,143.81333333333333,3,1,10.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
ORD200019,2023-01-23,C14552,5,224.0,273 Main St,TRK59101365,9,SAVE10,1120.0,24.88888888888889,1,1,10.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ORD200020,2023-05-08,C54829,5,62.51,587 Main St,TRK16718651,9,WINTER15,312.55,6.945555555555555,5,1,15.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
ORD200021,2024-11-17,C99023,4,342.95,569 Main St,TRK52646983,6,MISSING,1371.8,57.15833333333333,11,0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ORD200022,2023-01-29,C34416,2,49.62,633 Main St,TRK75937350,2,SAVE10,99.24,24.81,1,1,10.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
ORD200023,2025-04-09,C42372,4,273.25,755 Main St,TRK36168083,5,FREESHIP,1093.0,54.65,4,1,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ORD200024,2024-10-30,C17470,2,230.95,956 Main St,TRK28775057,3,WINTER15,461.9,76.98333333333333,10,1,15.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
ORD200025,2024-07-24,C42577,1,399.98,709 Main St,TRK69423327,3,WINTER15,399.98,133.32666666666668,7,1,15.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
ORD200026,2024-03-06,C21944,5,59.55,296 Main St,TRK80276812,6,MISSING,297.75,9.924999999999999,3,0,0.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
ORD200027,2024-02-22,C97593,1,472.74,881 Main St,TRK89117573,6,WINTER15,472.74,78.79,2,1,15.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
ORD200028,2023-11-21,C59823,4,160.07,568 Main St,TRK65895539,5,MISSING,640.28,32.013999999999996,11,0,0.0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
ORD200029,2024-09-20,C33260,3,423.53,930 Main St,TRK59744090,6,SAVE10,1270.59,70.58833333333332,9,1,10.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
ORD200030,2025-03-22,C44267,2,426.7,895 Main St,TRK54751444,5,SAVE10,853.4,85.34,3,1,10.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
ORD200031,2023-06-30,C26445,3,500.08,996 Main St,TRK31229981,6,MISSING,1500.24,83.34666666666666,6,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
ORD200032,2023-05-01,C12388,5,536.72,830 Main St,TRK99261395,10,MISSING,2683.6,53.672000000000004,5,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ORD200033,2023-06-05,C52184,1,162.77,912 Main St,TRK73312471,4,WINTER15,162.77,40.6925,6,1,15.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ORD200034,2023-01-07,C67195,4,576.52,926 Main St,TRK55467915,5,WINTER15,2306.08,115.304,1,1,15.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
ORD200035,2024-12-07,C50304,2,465.15,128 Main St,TRK46850888,2,SAVE10,930.3,232.575,12,1,10.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
ORD200036,2025-05-08,C59337,2,534.43,465 Main St,TRK50961250,5,MISSING,1068.86,106.886,5,0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
ORD200037,2024-10-14,C10054,2,76.74,409 Main St,TRK94005261,7,SAVE10,153.48,10.962857142857143,10,1,10.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ORD200038,2024-12-19,C15924,1,245.89,549 Main St,TRK14835975,3,SAVE10,245.89,81.96333333333332,12,1,10.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
ORD200039,2025-02-27,C96664,3,256.46,666 Main St,TRK85508960,4,SAVE10,769.38,64.115,2,1,10.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
ORD200040,2023-08-20,C84766,2,344.02,267 Main St,TRK78967923,4,FREESHIP,688.04,86.005,8,1,0.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
ORD200041,2023-12-05,C20212,3,611.45,657 Main St,TRK69733327,4,FREESHIP,1834.35,152.8625,12,1,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
ORD200042,2024-05-06,C28712,2,151.66,980 Main St,TRK40772558,6,MISSING,303.32,25.276666666666667,5,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ORD200043,2023-12-14,C60572,3,499.21,871 Main St,TRK20351666,8,MISSING,1497.63,62.40125,12,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ORD200044,2025-04-21,C73225,2,550.18,996 Main St,TRK73848522,3,FREESHIP,1100.36,183.39333333333332,4,1,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
ORD200045,2024-02-10,C17388,1,317.25,157 Main St,TRK47077395,1,SAVE10,317.25,317.25,2,1,10.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
ORD200046,2024-06-26,C43212,4,550.14,223 Main St,TRK25100762,4,FREESHIP,2200.56,137.535,6,1,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
ORD200047,2023-07-19,C38134,2,209.94,323 Main St,TRK42450754,3,FREESHIP,419.88,69.98,7,1,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
ORD200048,2023-08-26,C12408,2,80.77,464 Main St,TRK38938858,4,MISSING,161.54,20.1925,8,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
ORD200049,2023-10-07,C11985,1,30.44,633 Main St,TRK53272402,1,SAVE10,30.44,30.44,10,1,10.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
ORD200050,2023-07-31,C96494,1,179.22,446 Main St,TRK14675049,6,FREESHIP,179.22,29.87,7,1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
ORD200051,2024-12-30,C36778,1,388.33,434 Main St,TRK67610289,2,SAVE10,388.33,194.165,12,1,10.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
ORD200052,2024-09-08,C30513,1,586.44,232 Main St,TRK64320429,5,SAVE10,586.44,117.28800000000001,9,1,10.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
ORD200053,2024-05-18,C67551,4,488.78,512 Main St,TRK94992552,5,FREESHIP,1955.12,97.756,5,1,0.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
ORD200054,2025-03-27,C48120,1,280.25,623 Main St,TRK11014449,5,WINTER15,280.25,56.05,3,1,15.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
ORD200055,2025-06-24,C95984,3,344.4,565 Main St,TRK67434829,3,MISSING,1033.2,114.8,6,0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
ORD200056,2023-05-21,C54298,3,479.21,566 Main St,TRK62902341,5,WINTER15,1437.63,95.842,5,1,15.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ORD200057,2023-01-22,C88036,5,314.27,842 Main St,TRK52470128,6,SAVE10,1571.35,52.37833333333333,1,1,10.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
ORD200058,2023-01-15,C60190,4,474.69,202 Main St,TRK70857868,6,SAVE10,1898.76,79.115,1,1,10.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ORD200059,2024-09-11,C97603,4,593.27,811 Main St,TRK47055028,5,MISSING,2373.08,118.654,9,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
ORD200060,2024-08-21,C39256,1,417.1,634 Main St,TRK23412025,3,FREESHIP,417.1,139.03333333333333,8,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
ORD200061,2024-03-24,C61618,4,122.2,104 Main St,TRK43458485,7,FREESHIP,488.8,17.45714285714286,3,1,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ORD200062,2023-08-22,C36497,2,43.15,691 Main St,TRK12102911,3,WINTER15,86.3,14.383333333333333,8,1,15.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ORD200063,2025-02-02,C96695,1,564.86,813 Main St,TRK64283851,6,WINTER15,564.86,94.14333333333333,2,1,15.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
ORD200064,2025-06-25,C49720,3,130.61,752 Main St,TRK55785217,4,FREESHIP,391.83,32.6525,6,1,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
ORD200065,2023-12-30,C97735,5,81.7,385 Main St,TRK13743703,6,MISSING,408.5,13.616666666666667,12,0,0.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
ORD200066,2024-11-15,C18104,5,127.18,715 Main St,TRK15488568,9,SAVE10,635.9,14.131111111111112,11,1,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ORD200067,2024-12-09,C25587,4,12.1,440 Main St,TRK55105323,8,MISSING,48.4,1.5125,12,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
ORD200068,2023-12-11,C41598,3,490.92,709 Main St,TRK81665940,5,FREESHIP,1472.76,98.184,12,1,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
ORD200069,2023-05-11,C43338,3,478.65,552 Main St,TRK35241775,4,MISSING,1435.95,119.6625,5,0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ORD200070,2023-05-26,C25123,1,629.21,384 Main St,TRK27812282,2,FREESHIP,629.21,314.605,5,1,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
ORD200071,2025-06-10,C37454,3,434.45,923 Main St,TRK28252730,4,MISSING,1303.35,108.6125,6,0,0.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
ORD200072,2024-12-22,C19451,4,589.44,942 Main St,TRK87787793,5,MISSING,2357.76,117.888,12,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
ORD200073,2023-05-03,C17269,4,433.45,129 Main St,TRK79608389,4,MISSING,1733.8,108.3625,5,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ORD200074,2023-06-24,C25382,5,90.87,622 Main St,TRK64691287,5,MISSING,454.35,18.174,6,0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
ORD200075,2023-09-26,C80651,3,398.17,917 Main St,TRK14846720,5,SAVE10,1194.51,79.634,9,1,10.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
ORD200076,2024-03-31,C58638,4,382.88,239 Main St,TRK38224871,6,WINTER15,1531.52,63.81333333333333,3,1,15.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORD200077,2024-05-24,C50121,1,583.18,348 Main St,TRK79810059,5,MISSING,583.18,116.636,5,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
ORD200078,2024-08-06,C32029,4,175.36,146 Main St,TRK68535532,4,FREESHIP,701.44,43.84,8,1,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
ORD200079,2025-03-10,C76700,2,311.91,103 Main St,TRK13036341,2,MISSING,623.82,155.955,3,0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
ORD200080,2023-06-27,C29041,3,589.56,591 Main St,TRK28840655,6,MISSING,1768.68,98.25999999999999,6,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
ORD200081,2023-06-08,C29314,2,394.3,496 Main St,TRK59876213,6,FREESHIP,788.6,65.71666666666667,6,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ORD200082,2024-01-05,C65799,4,565.2,971 Main St,TRK66906607,9,SAVE10,2260.8,62.800000000000004,1,1,10.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
ORD200083,2023-08-22,C15681,4,540.41,989 Main St,TRK75112172,6,MISSING,2161.64,90.06833333333333,8,0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ORD200084,2023-08-28,C64160,2,165.49,967 Main St,TRK34121529,4,WINTER15,330.98,41.3725,8,1,15.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
ORD200085,2024-09-09,C14553,3,146.73,768 Main St,TRK93538334,8,FREESHIP,440.19,18.34125,9,1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ORD200086,2024-06-19,C88205,5,643.03,447 Main St,TRK93504166,5,FREESHIP,3215.15,128.606,6,1,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
ORD200087,2024-10-10,C91245,3,225.11,915 Main St,TRK46976391,4,SAVE10,675.33,56.2775,10,1,10.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
ORD200088,2025-06-05,C75439,3,114.81,318 Main St,TRK19831653,7,MISSING,344.43,16.40142857142857,6,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ORD200089,2025-02-25,C17181,5,455.33,291 Main St,TRK78912978,8,FREESHIP,2276.65,56.91625,2,1,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
ORD200090,2023-09-18,C36540,4,182.08,611 Main St,TRK35828122,4,SAVE10,728.32,45.52,9,1,10.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
ORD200091,2023-03-15,C98216,5,492.75,196 Main St,TRK40986666,6,WINTER15,2463.75,82.125,3,1,15.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
ORD200092,2024-06-10,C29568,4,48.61,203 Main St,TRK46531075,7,FREESHIP,194.44,6.944285714285714,6,1,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
ORD200093,2023-01-14,C97262,4,431.01,837 Main St,TRK65990229,7,MISSING,1724.04,61.57285714285714,1,0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
ORD200094,2023-02-11,C79821,1,531.18,781 Main St,TRK12780193,6,WINTER15,531.18,88.52999999999999,2,1,15.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
ORD200095,2023-03-24,C76761,4,117.51,839 Main St,TRK60179774,7,MISSING,470.04,16.787142857142857,3,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
ORD200096,2024-06-01,C93007,2,232.83,103 Main St,TRK85696091,7,MISSING,465.66,33.261428571428574,6,0,0.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
ORD200097,2025-01-21,C15624,5,619.52,922 Main St,TRK40621141,9,MISSING,3097.6,68.83555555555556,1,0,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
ORD200098,2023-01-14,C70921,2,228.54,533 Main St,TRK54983109,3,MISSING,457.08,76.17999999999999,1,0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
ORD200099,2025-04-12,C30477,1,201.58,717 Main St,TRK51829648,2,WINTER15,201.58,100.79,4,1,15.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ORD200100,2023-02-17,C74866,3,664.79,743 Main St,TRK53783265,6,MISSING,1994.37,110.79833333333333,2,0,0.0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
ORD200101,2023-11-25,C15283,1,381.02,152 Main St,TRK19286291,6,MISSING,381.02,63.50333333333333,11,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
ORD200102,2023-03-08,C18037,2,70.34,944 Main St,TRK47362236,3,FREESHIP,140.68,23.44666666666667,3,1,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ORD200103,2025-01-25,C62656,4,218.43,514 Main St,TRK86296459,9,SAVE10,873.72,24.27,1,1,10.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ORD200104,2024-07-30,C65744,1,582.04,647 Main St,TRK39906058,1,FREESHIP,582.04,582.04,7,1,0.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
ORD200105,2024-10-24,C72290,3,185.4,810 Main St,TRK68792129,7,MISSING,556.2,26.485714285714288,10,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
ORD200106,2023-09-08,C73514,3,465.05,126 Main St,TRK96777924,3,SAVE10,1395.15,155.01666666666668,9,1,10.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ORD200107,2023-03-27,C16775,5,670.75,848 Main St,TRK34392124,8,FREESHIP,3330.4075,83.84375,3,1,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
ORD200108,2024-12-28,C33099,5,48.38,522 Main St,TRK28522330,9,WINTER15,241.9,5.375555555555556,12,1,15.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
ORD200109,2023-09-17,C51157,3,592.87,131 Main St,TRK18674578,3,FREESHIP,1778.61,197.62333333333333,9,1,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
ORD200110,2024-04-21,C74562,1,220.77,388 Main St,TRK32062079,5,FREESHIP,220.77,44.154,4,1,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
ORD200111,2025-05-07,C95271,3,309.22,620 Main St,TRK74904969,7,FREESHIP,927.66,44.174285714285716,5,1,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ORD200112,2023-01-01,C81366,1,410.6,423 Main St,TRK17062206,2,WINTER15,410.6,205.3,1,1,15.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ORD200113,2024-01-17,C65905,5,190.08,605 Main St,TRK73954365,9,FREESHIP,950.4,21.12,1,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
ORD200114,2025-01-27,C77272,5,498.48,115 Main St,TRK29708128,8,SAVE10,2492.4,62.31,1,1,10.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
ORD200115,2023-11-27,C32580,5,374.99,122 Main St,TRK23670394,9,SAVE10,1874.95,41.66555555555556,11,1,10.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
ORD200116,2023-03-19,C47761,4,291.35,109 Main St,TRK66669207,6,WINTER15,1165.4,48.55833333333334,3,1,15.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
ORD200117,2023-03-08,C49187,1,535.5,593 Main St,TRK81888598,5,WINTER15,535.5,107.1,3,1,15.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ORD200118,2023-10-09,C27898,5,502.71,807 Main St,TRK61957665,7,FREESHIP,2513.55,71.81571428571428,10,1,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
ORD200119,2025-06-11,C14683,2,534.67,187 Main St,TRK47373682,7,FREESHIP,1069.34,76.38142857142857,6,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
ORD200120,2023-04-11,C58108,4,629.34,986 Main St,TRK66218053,4,WINTER15,2517.36,157.335,4,1,15.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ORD200121,2023-11-30,C89822,1,410.78,673 Main St,TRK24138598,1,FREESHIP,410.78,410.78,11,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ORD200122,2024-04-15,C96787,2,533.02,588 Main St,TRK30422853,2,MISSING,1066.04,266.51,4,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
ORD200123,2023-07-06,C86064,3,278.04,727 Main St,TRK62182901,5,MISSING,834.12,55.608000000000004,7,0,0.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
ORD200124,2024-07-28,C97148,4,283.79,563 Main St,TRK85321126,8,MISSING,1135.16,35.47375,7,0,0.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
ORD200125,2024-11-06,C91099,2,512.65,758 Main St,TRK81846174,5,SAVE10,1025.3,102.53,11,1,10.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
ORD200126,2025-05-03,C55606,4,275.5,353 Main St,TRK68250319,8,FREESHIP,1102.0,34.4375,5,1,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
ORD200127,2023-08-10,C71486,3,469.32,365 Main St,TRK73929833,3,MISSING,1407.96,156.44,8,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
ORD200128,2023-02-17,C86408,4,21.07,244 Main St,TRK41432648,4,FREESHIP,84.28,5.2675,2,1,0.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
ORD200129,2023-10-27,C52751,4,263.93,427 Main St,TRK72481234,4,FREESHIP,1055.72,65.9825,10,1,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
ORD200130,2025-01-22,C29059,3,501.3,513 Main St,TRK88360704,3,WINTER15,1503.9,167.1,1,1,15.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ORD200131,2023-01-08,C72862,1,84.8,606 Main St,TRK51648833,5,MISSING,84.8,16.96,1,0,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
ORD200132,2023-03-28,C96257,4,450.75,583 Main St,TRK13137948,6,WINTER15,1803.0,75.125,3,1,15.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
ORD200133,2025-06-20,C87432,4,302.05,636 Main St,TRK68969625,6,SAVE10,1208.2,50.34166666666667,6,1,10.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
ORD200134,2025-06-23,C16253,2,199.7,583 Main St,TRK17354894,4,MISSING,399.4,49.925,6,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ORD200135,2023-08-04,C79909,2,68.81,642 Main St,TRK86742257,5,SAVE10,137.62,13.762,8,1,10.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
